Time,Position,Error,Speed,Voltage
0.009634,0.343056,2,0,0,
0.027388,0,2,0,0,
0.059128,0,2,0,0,
0.082904,0,2,0,0,
0.112972,0,2,0,0,
0.143294,0,0,0,0,
0.172352,0,0,0,0.36217,
0.213651,0,16,0,1.24345,
0.230544,0.00208333,30,0,1.99194,
0.247398,0.00208333,48,0,2.79062,
0.268623,0.00902778,60,0.833333,3.45846,
0.287467,0.0194444,68,3.33333,3.98319,
0.33262,0.0916667,67,29.1667,4.29326,
0.370185,0.172222,81,61.6667,4.8607,
0.383493,0.172222,72,61.6667,4.43182,
0.440821,0.329861,22,117.083,3.43109,
0.487635,0.442361,22,146.667,3.62933,
0.530252,0.611111,-9,166.667,2.54751,
0.591695,0.771528,-10,167.083,2.51261,
0.622048,0.825,-24,165,2.14663,
0.657733,0.925694,-38,159.583,1.64575,
0.707103,1.02431,-13,154.167,2.54018,
0.733926,1.11875,-16,149.583,2.44282,
0.792234,1.25556,20,142.5,3.66422,
0.828542,1.30208,10,139.167,3.30499,
0.846853,1.35556,11,139.167,3.35704,
0.890231,1.44722,2,141.667,2.96833,
0.90802,1.49583,36,141.667,4.24047,
0.941876,1.59722,22,144.167,3.74575,
0.97219,1.70208,6,147.917,3.09677,
0.983212,1.70208,0,147.917,2.88563,
1.03024,1.86042,14,155.417,3.13196,
1.04598,1.86042,1,155.417,2.9912,
1.0877,1.96597,-20,157.917,2.20909,
1.10667,2.01806,-25,158.333,2.03094,
1.14418,2.12083,-3,157.5,2.77918,
1.19017,2.26667,-13,152.083,2.52977,
1.20863,2.26667,-17,152.083,2.31598,
1.23806,2.36319,13,148.333,3.45616,
1.27454,2.46181,3,145.833,3.02859,
1.29797,2.50833,0,145.833,2.9217,
1.33859,2.60347,-5,144.583,2.72097,
1.38138,2.70556,15,144.583,3.49839,
1.41519,2.80833,-4,147.083,2.7563,
1.45928,2.91181,17,152.083,3.42771,
1.48173,2.96319,8,154.167,3.25103,
1.5142,3.06667,-11,155.417,2.50894,
1.55405,3.16806,-24,155,2.12023,
1.5739,3.21667,7,153.75,3.13548,
1.60385,3.26806,-2,152.917,2.9217,
1.62608,3.31875,-8,151.667,2.52977,
1.64813,3.36736,-14,150.833,2.35161,
1.66969,3.41597,16,149.167,3.56305,
1.6977,3.51111,13,148.333,3.45616,
1.73283,3.60903,5,146.25,3.17111,
1.75829,3.65972,-2,145.833,2.74355,
1.78063,3.70903,-8,145.833,3.77683,
1.80855,3.75833,17,146.25,3.56906,
1.83227,3.86319,6,148.75,3.10968,
1.84539,3.86319,1,148.75,2.93299,
1.86807,3.91458,-13,152.083,2.43827,
1.89324,4.01667,14,153.333,3.46305,
1.90825,4.01667,10,153.333,3.25103,
1.93589,4.11944,-3,154.167,2.87419,
1.9592,4.17014,-11,154.167,2.51935,
1.98074,4.21944,-17,153.333,2.37742,
0.001384,4.21944,-17,153.333,2.37742,
0.002672,4.26875,-21,152.5,2.16452,
0.009069,4.26875,-5,152.5,3.15806,
0.020113,4.31597,-3,151.667,3.19355,
0.023918,4.31597,-3,151.667,3.19355,
0.038638,4.36528,-124,150,1.00538,
0.041506,4.36528,-124,150,1.00538,
0.052904,4.36528,1,150,3.18299,
0.056574,4.40903,1,147.917,3.18299,
0.067456,4.40903,2,147.917,3.19487,
0.07041,4.40903,2,147.917,3.19487,
0.092998,4.45486,7,145.417,3.2305,
0.098802,4.50486,10,143.333,3.2305,
0.117863,4.55417,8,142.083,3.17111,
0.120978,4.55417,9,142.083,3.17111,
0.147997,4.60139,5,141.667,3.08798,
0.159185,4.64861,0,142.083,3.04047,
0.173385,4.64861,-1,142.083,2.99189,
0.175949,4.69792,-1,142.917,2.99189,
0.185737,4.69792,-6,142.917,2.90943,
0.188043,4.69792,-6,142.917,2.90943,
0.212199,4.74583,-10,143.75,2.88587,
0.216521,4.79444,-10,144.167,2.88587,
0.237248,4.84306,-14,144.583,2.8152,
0.242937,4.84306,-14,144.583,2.8152,
0.252399,4.84306,-18,144.583,2.74453,
0.273027,4.89236,-22,145,2.68563,
0.290632,4.94028,-23,145,2.69604,
0.294287,4.94028,-23,145.417,2.69604,
0.307882,4.98889,-29,145.417,2.57727,
0.310367,4.98889,-29,145.417,2.57727,
0.337631,5.08472,-31,145.833,2.5654,
0.345849,5.08472,-35,145.833,2.48226,
0.365043,5.13194,-34,145.417,2.51789,
0.369111,5.13194,-37,145.417,2.43475,
0.386447,5.17708,-35,144.167,2.47038,
0.388485,5.17708,-35,144.167,2.47038,
0.413127,5.22153,-31,142.5,2.4585,
0.417512,5.26667,-31,140.417,2.4585,
0.43551,5.31042,-31,138.333,2.411,
0.439676,5.31042,-31,138.333,2.411,
0.44991,5.31042,-28,138.333,2.43475,
0.4524,5.31042,-28,138.333,2.43475,
0.477243,5.39722,-26,134.167,2.42287,
0.48413,5.39722,-23,134.167,2.44663,
0.50423,5.43958,-23,132.5,2.43475,
0.507379,5.43958,-23,132.5,2.43475,
0.539123,5.52222,-23,130,2.37322,
0.543772,5.52222,-21,130,2.39707,
0.565958,5.56319,-21,128.333,2.36129,
0.570613,5.56319,-21,128.333,2.36129,
0.586451,5.60417,-24,126.667,2.28974,
0.588745,5.60417,-21,126.667,2.32551,
0.614611,5.68194,-20,123.333,2.28974,
0.63137,5.68194,-19,123.333,2.26588,
0.647276,5.72153,-17,121.25,2.28974,
0.652921,5.72153,-17,121.25,2.28974,
0.669156,5.75972,-17,120,2.25396,
0.672004,5.75972,-17,120,2.25396,
0.684797,5.79722,-18,118.333,2.21818,
0.687131,5.79722,-18,118.333,2.26588,
0.712718,5.83403,-14,116.667,2.25396,
0.728109,5.87222,-18,115.417,2.15855,
0.74755,5.90972,-15,114.167,2.17048,
0.751517,5.90972,-15,114.167,2.17048,
0.769583,5.94583,-17,113.333,2.12278,
0.772201,5.94583,-17,113.333,2.12278,
0.784758,5.98194,-15,112.083,2.15855,
0.787181,5.98194,-17,112.083,2.09892,
0.815222,6.05208,-17,110,2.00352,
0.830451,6.05208,-18,110,2.02737,
0.850042,6.08611,-16,108.75,2.0393,
0.853195,6.08611,-13,108.75,2.09892,
0.868437,6.11944,-16,107.083,1.99159,
0.870792,6.11944,-16,107.083,1.99159,
0.885112,6.15208,-13,105,1.99159,
0.887608,6.15208,-14,105,1.99159,
0.913109,6.18403,-11,102.917,1.97967,
0.926999,6.21597,-11,100.833,1.94389,
0.9476,6.24931,-9,99.1667,1.96774,
0.951091,6.24931,-9,99.1667,1.97967,
0.970059,6.28056,-10,97.9167,1.94389,
0.974122,6.28056,-9,97.0833,1.93196,
0.989049,6.31111,-11,97.0833,1.87234,
0.99238,6.31111,-11,97.0833,1.87234,
1.01235,6.34028,-9,95.8333,1.88426,
1.01717,6.36944,-10,94.5833,1.84848,
1.04591,6.39861,-5,92.5,1.92004,
1.05016,6.39861,-5,92.5,1.80078,
1.07265,6.42708,-4,90.8333,1.83656,
1.07742,6.45417,-4,88.75,1.83656,
1.09267,6.45417,-6,88.75,1.80078,
1.09567,6.48056,-4,87.0833,1.78886,
1.11585,6.50694,-5,85,1.78886,
1.12285,6.50694,-2,85,1.78886,
1.14308,6.53403,-1,83.3333,1.77693,
1.14898,6.53403,-2,83.3333,1.74115,
1.16534,6.55972,0,82.0833,1.75308,
1.1686,6.55972,0,82.0833,1.75308,
1.19442,6.58472,2,79.1667,1.72923,
1.19894,6.60903,2,79.1667,1.72923,
1.21198,6.60903,0,79.1667,1.68152,
1.21445,6.60903,0,77.5,1.68152,
1.22673,6.63333,2,77.5,1.69345,
1.22968,6.63333,2,77.5,1.6696,
1.25529,6.67917,3,74.5833,1.65767,
1.25977,6.67917,5,74.5833,1.6696,
1.27512,6.70208,4,72.5,1.65767,
1.27735,6.70208,4,72.5,1.65767,
1.28627,6.70208,6,72.5,1.64575,
1.28832,6.70208,6,72.5,1.64575,
1.32275,6.74583,6,69.5833,1.55034,
1.33739,6.76736,6,68.3333,1.56227,
1.34685,6.76736,8,68.3333,1.60997,
1.35289,6.76736,8,68.3333,1.60997,
1.35889,6.78819,9,67.0833,1.58612,
1.36228,6.78819,9,67.0833,1.58612,
1.38488,6.80903,7,65.8333,1.53275,
1.39896,6.82917,5,64.5833,1.47287,
1.40578,6.82917,7,64.5833,1.49682,
1.40789,6.82917,7,64.5833,1.49682,
1.43314,6.84931,6,63.3333,1.44892,
1.43647,6.86944,2,62.5,1.37708,
1.45091,6.86944,4,62.5,1.40103,
1.45457,6.88819,4,61.25,1.40103,
1.46847,6.88819,4,61.25,1.38905,
1.47175,6.88819,5,61.25,1.38905,
1.48784,6.90764,4,60.4167,1.3651,
1.49065,6.90764,4,60.4167,1.3651,
1.51371,6.925,6,59.1667,1.34115,
1.51957,6.94167,6,57.9167,1.34115,
1.53807,6.95833,6,56.25,1.30523,
1.54176,6.95833,6,56.25,1.30523,
0.004063,0.160417,6,0,0.253519,
0.044736,0,6,0,0,
0.091097,0,6,0,0,
0.123632,0,6,0,0,
0.179767,0,2,0,0.36217,
0.213475,0,24,0,1.65391,
0.251279,0,45,1.25,2.89765,
0.282372,0.0229167,62,5,3.67918,
0.320797,0.0611111,94,19.1667,5.37449,
0.348236,0.0909722,91,30,4.88231,
0.390279,0.176389,60,61.25,4.25582,
0.41352,0.227083,40,80.4167,3.82375,
0.44197,0.335417,52,120,4.34223,
0.478898,0.452778,21,150,3.4654,
0.5224,0.568056,-16,166.25,2.26452,
0.543779,0.623611,3,170,2.91642,
0.585274,0.789583,-29,170.833,1.78886,
0.615626,0.8375,-37,168.333,1.60997,
0.663377,0.936806,-16,160.417,2.36129,
0.686298,0.988194,-24,152.917,2.0393,
0.73022,1.0875,-33,150.417,1.76026,
0.747864,1.13264,-31,149.167,1.90396,
0.788103,1.22083,9,145,3.34091,
0.811468,1.26458,9,141.25,3.19721,
0.833854,1.31458,-1,137.083,2.94516,
0.870288,1.40556,39,136.667,4.36452,
0.900363,1.50417,31,138.75,4.00968,
0.934989,1.60833,17,143.333,3.22903,
0.951819,1.60833,4,143.333,3.01378,
0.991759,1.71458,23,149.583,3.53944,
1.01204,1.76736,8,153.75,3.08387,
1.03286,1.82222,-5,158.75,2.59326,
1.07016,1.92778,-23,159.583,2.17346,
1.08512,1.97847,-28,159.583,1.92405,
1.11552,2.075,3,156.25,3.02859,
1.14324,2.12569,-6,153.333,2.70792,
1.17365,2.17569,-16,149.583,2.42287,
1.20334,2.27292,14,148.333,3.42053,
1.22601,2.31875,12,147.917,3.34927,
1.2527,2.37014,2,147.083,3.02859,
1.28083,2.46736,-3,145.833,2.81481,
1.31335,2.51667,26,145.833,3.8871,
1.34145,2.61458,19,146.25,3.56906,
1.38195,2.71875,-1,147.917,2.93299,
1.40783,2.77083,-11,149.167,2.50894,
1.42423,2.82222,16,151.25,3.28636,
1.45425,2.87361,-2,154.583,2.82698,
1.47652,2.97778,-10,155.417,2.54428,
1.49409,2.97778,-14,155.417,2.47361,
1.51922,3.07708,-19,155,2.12023,
1.5442,3.12569,11,153.75,3.3,
1.56829,3.17361,2,151.667,2.98065,
1.59239,3.22639,-6,150,2.69677,
1.61046,3.27569,-9,148.75,2.66129,
1.63263,3.32292,-14,147.917,2.4129,
1.65895,3.42014,18,147.5,3.61935,
1.6782,3.47083,9,147.5,3.28636,
1.69102,3.47083,6,147.5,3.18035,
1.7151,3.57083,-1,147.5,2.86232,
1.74118,3.62083,-10,147.917,2.61496,
1.77133,3.67014,18,148.75,3.53372,
1.80784,3.77569,-4,150.417,2.82698,
1.83178,3.82639,-11,152.5,2.57962,
1.84629,3.87708,-15,152.5,2.43827,
1.87683,3.97639,11,153.333,3.28636,
1.90159,4.02847,0,152.5,2.89765,
1.92762,4.07847,-9,151.667,2.59032,
1.95095,4.12708,-13,151.25,2.44839,
1.97341,4.175,20,149.583,3.61935,
1.98526,4.22222,18,149.583,3.61935,
0.000849,4.22222,18,149.583,3.61935,
0.002423,4.27361,-23,148.333,2.09355,
0.008621,4.27361,5,148.333,3.22903,
0.018061,4.32153,5,147.083,3.27634,
0.023404,4.32153,7,147.083,3.27634,
0.034819,4.32153,-117,147.083,1.05269,
0.037721,4.32153,-117,147.083,1.05269,
0.052457,4.36875,9,146.25,3.24086,
0.056877,4.36875,9,146.25,3.24086,
0.074164,4.41111,10,145,3.22903,
0.078876,4.45694,10,143.333,3.22903,
0.097509,4.45694,11,141.667,3.2172,
0.102572,4.50764,11,141.667,3.2172,
0.117195,4.50764,10,141.667,3.16989,
0.119637,4.55764,11,140.833,3.18172,
0.133557,4.55764,8,140.833,3.13441,
0.137529,4.55764,8,141.25,3.13441,
0.166403,4.65625,2,142.083,3.05078,
0.176154,4.65625,-1,142.083,3.039,
0.190594,4.70486,-7,144.583,2.94477,
0.195726,4.70486,-10,144.583,2.92121,
0.210489,4.75417,-17,146.667,2.82698,
0.21303,4.75417,-17,146.667,2.82698,
0.22576,4.80347,-21,147.5,2.7563,
0.229019,4.80347,-22,147.5,2.74453,
0.254424,4.85278,-25,147.917,2.69741,
0.272915,4.90278,-29,147.5,2.64853,
0.296488,4.95139,-28,147.917,2.64853,
0.301427,5,-28,147.5,2.64853,
0.318399,5.04583,-33,147.083,2.5654,
0.326395,5.04583,-35,147.083,2.50601,
0.344188,5.09444,-33,145.833,2.55352,
0.348224,5.09444,-33,145.833,2.4585,
0.372459,5.13958,-32,144.583,2.49413,
0.378222,5.18403,-32,142.917,2.49413,
0.414783,5.22778,-26,140.833,2.51789,
0.422414,5.27292,-26,138.75,2.51789,
0.453337,5.31667,-24,136.667,2.47038,
0.467197,5.35903,-27,134.583,2.42287,
0.483352,5.40208,-23,132.917,2.43475,
0.488493,5.40208,-23,132.917,2.38724,
0.512878,5.44514,-23,131.667,2.44663,
0.526521,5.48611,-23,130,2.38724,
0.544576,5.52639,-21,128.75,2.411,
0.548523,5.52639,-24,128.75,2.30411,
0.570118,5.56736,-20,127.083,2.33974,
0.572799,5.56736,-20,127.083,2.33974,
0.59673,5.60764,-19,125.417,2.32786,
0.604915,5.64722,-17,123.75,2.35161,
0.628122,5.68681,-16,122.083,2.31598,
0.633428,5.68681,-16,122.083,2.31598,
0.646076,5.72639,-19,120.833,2.24472,
0.648431,5.72639,-19,120.833,2.24472,
0.676946,5.76667,-19,120.417,2.22097,
0.68285,5.80556,-18,119.583,2.23284,
0.715229,5.84375,-20,118.75,2.17346,
0.727527,5.88125,-25,118.333,2.07845,
0.738685,5.91875,-24,117.083,2.07845,
0.7484,5.91875,-23,117.083,2.09892,
0.760248,5.95486,-23,115.833,2.09892,
0.76657,5.95486,-24,115.833,2.06315,
0.792366,5.99097,-19,114.167,2.11085,
0.795112,5.99097,-19,114.167,2.11085,
0.806597,6.025,-21,112.083,2.0393,
0.808513,6.025,-21,112.083,2.0393,
0.832299,6.05903,-18,109.583,2.05122,
0.835713,6.05903,-15,109.583,2.05122,
0.850225,6.09306,-15,107.5,2.02737,
0.852825,6.09306,-15,107.5,2.02737,
0.877193,6.12847,-12,104.167,2.02737,
0.883767,6.16042,-12,104.167,1.97967,
0.902501,6.19306,-12,102.917,1.99159,
0.909421,6.19306,-15,102.917,1.92004,
0.918254,6.22431,-15,101.25,1.92004,
0.920955,6.22431,-13,101.25,1.94389,
0.947402,6.25625,-10,100,1.97967,
0.952484,6.25625,-10,100,1.96774,
0.972341,6.2875,-11,98.3333,1.90811,
0.975284,6.2875,-11,98.3333,1.90811,
0.996094,6.31667,-9,96.6667,1.89619,
0.999519,6.34514,-10,94.5833,1.84848,
1.01995,6.37431,-5,92.5,1.89619,
1.02727,6.37431,-5,92.5,1.89619,
1.04332,6.40278,-3,90.8333,1.88426,
1.04584,6.40278,-3,90.8333,1.88426,
1.07136,6.43125,-2,88.75,1.86041,
1.07724,6.43125,0,88.75,1.87234,
1.10896,6.48542,3,85.8333,1.87234,
1.11631,6.48542,3,84.1667,1.78886,
1.1297,6.51111,1,84.1667,1.81271,
1.13403,6.51111,1,84.1667,1.81271,
1.14686,6.53681,0,82.9167,1.78886,
1.14904,6.53681,0,82.9167,1.78886,
1.17191,6.5625,1,81.25,1.74115,
1.17686,6.5625,3,81.25,1.765,
1.207,6.61181,6,77.9167,1.765,
1.21404,6.61181,6,77.9167,1.765,
1.23677,6.63542,4,76.6667,1.69345,
1.24064,6.65903,6,75,1.70538,
1.26019,6.68194,4,73.75,1.6696,
1.27883,6.70625,4,72.5,1.63382,
1.28901,6.70625,6,72.5,1.64575,
1.29205,6.70625,6,72.5,1.64575,
1.3131,6.72917,3,71.25,1.57419,
1.3178,6.72917,0,70.8333,1.51457,
1.33847,6.77361,1,70,1.52649,
1.34112,6.77361,2,70,1.52649,
1.35004,6.77361,0,70,1.49071,
1.35253,6.77361,0,70,1.49071,
1.37242,6.79514,1,69.1667,1.47879,
1.37817,6.81597,1,67.9167,1.47879,
1.40045,6.83611,2,66.6667,1.46686,
1.40841,6.83611,4,66.6667,1.49071,
1.41695,6.83611,1,66.6667,1.40723,
1.41915,6.85625,1,65,1.40723,
1.42924,6.85625,1,65,1.40723,
1.43174,6.85625,1,65,1.40723,
1.46048,6.89583,5,62.0833,1.40723,
1.47387,6.89583,2,62.0833,1.34115,
1.4811,6.91389,2,60.8333,1.38905,
1.4872,6.91389,4,60.8333,1.38905,
1.51178,6.93264,3,59.5833,1.3172,
1.51593,6.93264,5,59.5833,1.32918,
1.53436,6.94931,4,58.3333,1.32918,
1.53824,6.96597,2,56.6667,1.26931,
1.54683,6.96597,2,56.6667,1.26931,
1.54904,6.96597,4,56.6667,1.26931,
1.57165,6.98125,7,54.5833,1.28128,
1.57449,6.98125,7,54.5833,1.28128,
1.59498,6.99653,10,52.5,1.26931,
1.59957,7.01181,10,50.4167,1.26931,
1.61458,7.01181,11,50.4167,1.24536,
1.61697,7.01181,11,50.4167,1.24536,
1.63135,7.02639,11,48.75,1.24536,
1.63516,7.02639,11,48.75,1.24536,
1.65308,7.04167,12,47.0833,1.22141,
1.65891,7.05625,11,45.8333,1.19746,
1.67688,7.05625,12,45.8333,1.18548,
1.67932,7.07014,12,45,1.18548,
1.68903,7.07014,13,45,1.18548,
1.69161,7.07014,13,45,1.18548,
1.70705,7.08264,11,44.1667,1.13759,
1.70937,7.08264,11,44.1667,1.13759,
1.73601,7.09583,12,42.9167,1.11364,
1.74307,7.10694,12,41.6667,1.11364,
1.75233,7.10694,10,41.6667,1.07771,
1.75446,7.10694,10,41.6667,1.07771,
1.76978,7.11806,11,40,1.02981,
1.77416,7.11806,11,40,1.02981,
1.79057,7.12778,16,35.8333,1.02981,
1.80806,7.1375,15,35.8333,1.02981,
1.81867,7.14653,18,33.75,1.05376,
1.82312,7.14653,21,33.75,1.07771,
1.84744,7.15486,21,31.6667,1.04179,
1.85193,7.15486,21,31.6667,1.04179,
1.87961,7.17083,25,27.9167,1.04179,
1.8866,7.17083,25,27.9167,1.04179,
1.90169,7.17847,25,26.6667,1.02981,
1.9115,7.17847,23,26.6667,0.957967,
1.91905,7.18542,23,25.4167,0.957967,
1.92409,7.18542,25,25.4167,0.969941,
1.95309,7.19167,25,24.1667,0.969941,
1.97491,7.19792,24,22.9167,0.922043,
1.98075,7.20347,25,21.25,0.898094,
1.98767,7.20347,23,21.25,0.850196,
2.00517,7.20903,25,20,0.86217,
2.01051,7.20903,27,20,0.886119,
2.04853,7.21806,28,17.5,0.86217,
2.06514,7.22222,26,16.25,0.802297,
2.07413,7.22222,26,16.25,0.802297,
2.07674,7.22222,21,16.25,0.694526,
2.08555,7.22569,21,15,0.694526,
2.08783,7.22569,23,15,0.718475,
2.11335,7.22917,25,13.75,0.718475,
2.11787,7.23125,25,12.5,0.718475,
2.15121,7.23264,26,10.8333,0.718475,
2.15774,7.23264,28,9.58333,0.718475,
2.17527,7.23403,29,9.58333,0.7065,
2.17759,7.23403,29,9.58333,0.7065,
2.18635,7.23472,27,7.91667,0.634653,
2.18865,7.23472,27,7.91667,0.634653,
2.212,7.23542,29,6.25,0.622678,
2.21533,7.23542,29,6.25,0.622678,
2.23432,7.23542,29,4.58333,0.586755,
2.23852,7.23542,29,3.33333,0.586755,
2.24976,7.23542,28,3.33333,0.586755,
2.2526,7.23542,29,3.33333,0.562805,
2.27721,7.23542,30,1.25,0.550831,
2.2835,7.23542,31,1.25,0.562805,
2.31129,7.23542,28,0.416667,0.502933,
2.3141,7.23542,28,0.416667,0.502933,
2.32637,7.23542,24,0,0.431085,
2.32905,7.23542,24,0,0.431085,
2.35301,7.23542,21,0,0.359238,
2.35717,7.23542,21,0,0.359238,
2.38444,7.23542,17,0,0.28739,
2.38695,7.23542,17,0,0.28739,
2.41287,7.23542,13,0,0.215543,
2.4179,7.23542,8,0,0.143695,
2.44957,7.23542,8,0,0.144282,
2.45653,7.23542,8,0,0.144282,
2.47804,7.23542,4,0,0.0721408,
2.48045,7.23542,4,0,0.0721408,
0.005097,0,4,0,0.253519,
0.027228,0,4,0,0,
0.059238,0,4,0,0,
0.109166,0,4,0,0,
0.143709,0,0,0,0.0482893,
0.157048,0,0,0,0.181085,
0.179899,0,6,0,0.639834,
0.223896,0.00486111,45,0.416667,2.77742,
0.270046,0.0243056,69,5.41667,4.05191,
0.299125,0.0416667,74,20,4.40059,
0.319579,0.0659722,73,20,4.16657,
0.340128,0.0958333,92,46.25,5.04545,
0.395249,0.228472,54,81.25,4.29677,
0.444395,0.397222,44,135.833,4.24927,
0.483062,0.516667,10,160.833,3.10264,
0.507112,0.573611,-8,168.333,2.4956,
0.530762,0.631944,-29,172.5,1.71994,
0.581135,0.788889,-19,172.083,2.25396,
0.597964,0.788889,-22,172.083,2.14663,
0.621292,0.890278,-35,162.083,1.68152,
0.659095,0.940278,-43,157.083,2.68328,
0.701371,1.08194,-12,147.917,2.58651,
0.718946,1.08194,-12,147.917,2.58651,
0.738192,1.12708,-11,146.25,2.62243,
0.763875,1.21736,-10,141.25,2.65836,
0.818144,1.31806,10,138.333,3.33548,
0.850055,1.41389,6,140.833,3.12258,
0.877617,1.46042,-2,142.917,2.83871,
0.906007,1.5625,27,146.25,3.67962,
0.93941,1.61597,10,149.167,3.04883,
0.956425,1.66736,0,149.167,2.9437,
0.990053,1.77153,-16,153.75,2.3129,
1.02374,1.87361,8,155,3.15396,
1.08292,2.02153,-8,152.5,2.62581,
1.11842,2.07014,17,151.25,3.5129,
1.16272,2.22083,2,148.333,2.98065,
1.18664,2.27014,-4,147.917,2.76774,
1.23472,2.37153,15,149.583,3.44194,
1.29416,2.525,-11,151.667,2.51935,
1.31379,2.575,-15,152.5,2.37742,
1.36821,2.72639,2,151.667,2.98065,
1.40102,2.82431,-7,150.417,2.69677,
1.48107,2.97222,7,147.5,3.15806,
